# spin-wave spectrum computed from ComputeSpinWave.java code
# computed at : 2015/01/23 18:00:19
# check out https://github.com/Eunsong/SpinDynamicsSimulator for most recent updates
#      k     omega  S[k][w]
  0.0385    3.5500  2.034e+00
  0.0385    3.6000  2.453e+00
  0.0385    3.6500  3.075e+00
  0.0385    3.7000  4.051e+00
  0.0385    3.7500  5.589e+00
  0.0385    3.8000  8.230e+00
  0.0385    3.8500  1.326e+01
  0.0385    3.9000  2.370e+01
  0.0385    3.9500  4.446e+01
  0.0385    4.0000  6.252e+01
  0.0385    4.0500  4.561e+01
  0.0385    4.1000  2.556e+01
  0.0385    4.1500  1.508e+01
  0.0385    4.2000  9.791e+00
  0.0385    4.2500  6.882e+00
  0.0385    4.3000  5.146e+00
  0.0385    4.3500  4.044e+00
  0.0385    4.4000  3.289e+00
  0.0385    4.4500  2.764e+00
  0.0385    4.5000  2.375e+00
  0.0385    4.5500  2.085e+00
  0.0385    4.6000  1.852e+00
  0.0385    4.6500  1.674e+00
  0.0385    4.7000  1.529e+00
  0.0385    4.7500  1.413e+00
  0.0385    4.8000  1.316e+00
  0.0385    4.8500  1.232e+00
  0.0385    4.9000  1.162e+00
  0.0385    4.9500  1.101e+00
  0.0385    5.0000  0.000e+00

  0.0769    0.0000  1.347e+00
  0.0769    0.0500  1.307e+00
  0.0769    0.1000  1.208e+00
  0.0769    0.1500  1.158e+00
  0.0769    0.2000  1.245e+00
  0.0769    0.2500  1.373e+00
  0.0769    0.3000  1.640e+00
  0.0769    0.3500  2.287e+00
  0.0769    0.4000  3.288e+00
  0.0769    0.4500  4.966e+00
  0.0769    0.5000  7.810e+00
  0.0769    0.5500  1.298e+01
  0.0769    0.6000  2.242e+01
  0.0769    0.6500  3.710e+01
  0.0769    0.7000  4.783e+01
  0.0769    0.7500  4.468e+01
  0.0769    0.8000  3.261e+01
  0.0769    0.8500  2.257e+01
  0.0769    0.9000  1.615e+01
  0.0769    0.9500  1.199e+01
  0.0769    1.0000  9.338e+00
  0.0769    1.0500  7.606e+00
  0.0769    1.1000  6.359e+00
  0.0769    1.1500  5.348e+00
  0.0769    1.2000  4.591e+00
  0.0769    1.2500  4.031e+00
  0.0769    1.3000  3.549e+00
  0.0769    1.3500  3.157e+00
  0.0769    1.4000  2.848e+00
  0.0769    1.4500  2.655e+00
  0.0769    1.5000  2.512e+00
  0.0769    1.5500  2.316e+00
  0.0769    1.6000  2.134e+00
  0.0769    1.6500  1.998e+00
  0.0769    1.7000  1.895e+00
  0.0769    1.7500  1.803e+00
  0.0769    1.8000  1.733e+00
  0.0769    1.8500  1.669e+00
  0.0769    1.9000  1.597e+00
  0.0769    1.9500  1.528e+00
  0.0769    2.0000  1.412e+00
  0.0769    2.0500  1.292e+00
  0.0769    2.1000  1.248e+00
  0.0769    2.1500  1.258e+00
  0.0769    2.2000  1.267e+00
  0.0769    2.2500  1.273e+00
  0.0769    2.3000  1.263e+00
  0.0769    2.3500  1.238e+00
  0.0769    2.4000  1.201e+00
  0.0769    2.4500  1.154e+00
  0.0769    2.5000  1.129e+00
