# spin-wave spectrum computed from ComputeSpinWave.java code
# computed at : 2015/01/24 18:12:12
# check out https://github.com/Eunsong/SpinDynamicsSimulator for most recent updates
#      k     omega  S[k][w]
  0.0196    3.5500  1.537e+01
  0.0196    3.6000  1.283e+01
  0.0196    3.6500  1.103e+01
  0.0196    3.7000  9.684e+00
  0.0196    3.7500  8.589e+00
  0.0196    3.8000  7.687e+00
  0.0196    3.8500  6.979e+00
  0.0196    3.9000  6.423e+00
  0.0196    3.9500  5.936e+00
  0.0196    4.0000  5.547e+00
  0.0196    4.0500  5.197e+00
  0.0196    4.1000  4.880e+00
  0.0196    4.1500  4.580e+00
  0.0196    4.2000  4.331e+00
  0.0196    4.2500  4.112e+00
  0.0196    4.3000  3.908e+00
  0.0196    4.3500  3.742e+00
  0.0196    4.4000  3.571e+00
  0.0196    4.4500  3.428e+00
  0.0196    4.5000  3.296e+00
  0.0196    4.5500  3.183e+00
  0.0196    4.6000  3.088e+00
  0.0196    4.6500  2.973e+00
  0.0196    4.7000  2.872e+00
  0.0196    4.7500  2.781e+00
  0.0196    4.8000  2.677e+00
  0.0196    4.8500  2.579e+00
  0.0196    4.9000  2.501e+00
  0.0196    4.9500  2.445e+00
  0.0196    5.0000  0.000e+00

  0.0392    0.0000  8.392e+00
  0.0392    0.0500  8.400e+00
  0.0392    0.1000  8.401e+00
  0.0392    0.1500  8.432e+00
  0.0392    0.2000  8.468e+00
  0.0392    0.2500  8.525e+00
  0.0392    0.3000  8.599e+00
  0.0392    0.3500  8.676e+00
  0.0392    0.4000  8.769e+00
  0.0392    0.4500  8.873e+00
  0.0392    0.5000  9.009e+00
  0.0392    0.5500  9.149e+00
  0.0392    0.6000  9.313e+00
  0.0392    0.6500  9.447e+00
  0.0392    0.7000  9.617e+00
  0.0392    0.7500  9.838e+00
  0.0392    0.8000  1.009e+01
  0.0392    0.8500  1.037e+01
  0.0392    0.9000  1.069e+01
  0.0392    0.9500  1.104e+01
  0.0392    1.0000  1.144e+01
  0.0392    1.0500  1.190e+01
  0.0392    1.1000  1.241e+01
  0.0392    1.1500  1.299e+01
  0.0392    1.2000  1.366e+01
  0.0392    1.2500  1.442e+01
  0.0392    1.3000  1.531e+01
  0.0392    1.3500  1.636e+01
  0.0392    1.4000  1.767e+01
  0.0392    1.4500  1.934e+01
  0.0392    1.5000  2.174e+01
  0.0392    1.5500  2.556e+01
  0.0392    1.6000  3.495e+01
  0.0392    1.6500  8.251e+01
  0.0392    1.7000  1.121e+02
  0.0392    1.7500  4.950e+01
  0.0392    1.8000  5.310e+01
  0.0392    1.8500  6.948e+01
  0.0392    1.9000  8.344e+01
  0.0392    1.9500  9.549e+01
  0.0392    2.0000  7.674e+01
  0.0392    2.0500  7.022e+01
  0.0392    2.1000  1.017e+02
  0.0392    2.1500  1.838e+02
  0.0392    2.2000  1.238e+02
